stud_id,stud_lname,stud_fname,stud_username,stud_password
1,Banner,Bruce,sbannbru,stude001
2,Barton,Clint,sbartcli,stude002
3,Brock,Eddie,sbrocedd,stude003
4,Cage,Luke,scageluk,stude004
5,Castle,Frank,scastfra,stude005
6,Danvers,Carol,sdanvcar,stude006
7,Drake,Bobby,sdrakbob,stude007
8,Grey,Jean,sgreyjea,stude008
9,Howlett,Logan,showllog,stude009
10,Jones,Jessica,sjonejes,stude010
11,Khan,Kamala,skhankam,stude011
12,Lehnsherr,Erik,slehneri,stude012
13,Maximov,Wanda,smaxiwan,stude013
14,McCoy,Hank,smccohan,stude014
15,Morales,Miles,smoramil,stude015
16,Murdock,Matt,smurdmat,stude016
17,Octavius,Otto,soctaott,stude017
18,Osborn,Norman,sosbonor,stude018
19,Pride,Kitty,spridkit,stude019
20,Richards,Reed,srichree,stude020
21,Rogers,Steve,srogeste,stude021
22,Romanoff,Natasha,sromanat,stude022
23,Stacy,Gwen,sstacgwe,stude023
24,Stark,Tony,sstarton,stude024
25,Storm,Johnny,sstorjoh,stude025
26,Storm,Susan,sstorsus,stude026
27,Strange,Stephen,sstraste,stude027
28,Summers,Scott,ssummsco,stude028
29,Wilson,Sam,swilssam,stude029
30,Wilson,Wade,swilswad,stude030
31,Worthington,Warren,swortwar,stude031
32,Xavier,Charles,sxavicha,stude032
